Although court jaane mein inka fayda hai. Chaar hearings mein baat saaf ho jayegi ki ye kya deserve karti hain aur inko is company se kya milna chahiye. | STD
Yahan milne ka matlab yehi hai ki hum Mrs Khanna ki demands ko consider kar rahe hain. | STD
Humne aapko consider karne ko nahin kaha hai. Aapki authourity nahin hai consider karne ki. | STD
Excuse me hum jhagda karne ke liye nahin mil rahe hain | STD
Pakdaate jao, pakdaate jao Bhaisaab ke haat mein do. | STD
Main neeche se pass kar raha hoon. | STD
Tum chahadh jaayo pehle | STD
Arey tum meri tension mat lo, samaan andar karo jaldi Ye lo | STD
Hum keh rahe the doo go coolie ka samaan hai | STD
Bag dekho bag dekho girega | STD
Abhi aur bhi samaan hai? | STD
Aane do, aane do | STD
Ye lo, ye padko Haan | STD
Bahut riks hai bahut riks hai Samne dekhiye | EUP
Haan dekh rahi hoon, aap jaldi jaldi samaan leejiye | STD
Oh Oh teri Oh god Aaj to hadd hi ho gayee, line cross hi ho gayee thi aaj to Pata hai kya, aaj tak life mein ek train nahin chhooti meri Thank you Babaji, mera record tootne se bacha liya | DEL
Aa gayee hoon main andar. Ab to mera haath chhod do. Itni bhi sundar nahin hoon main. | STD
You know, mujhe Non AC mein chalna better lagta hai. Magar meri family Kehte hain tum ladki ho jaise mujhe hi nahin pata ki main ladki hoon. Bhai saab A2 hain na? | STD
Haan | STD
Thank you. Ab AC se ladki ka kya connection hai, ye mere palle nahin pada. | DEL
I mean koi pehli baari to akele travel kar nahin rahi hoon main More so is train mein Ye to samajh lo ki mera second home hai. | STD
Ticket dikhaana please. | STD
Hello Aap se baat kar rahi hoon. Arey? Ye meri seat hai. Twenty four. Kamaal hai? O boss | STD
Ye seat chaubis. Meri | STD
Ye passage waali seats koi nahin lena chahta, magar main insist karti hoon ki bhaiya passage waali seat hi do. | STD
Reservation waale uncle bade hairaan pareshaan ho jaate hain magar mera funda ye hai ki raaste ke nazdeek rehne | HUM
Mera safar hai na, is train ke saath khatm nahin hota. No. Aage jaana hai mujhe Bhatinda Mera ghar hai vahan, family hai Sab ki hoti hai, meri bhi hai Hai na? | STD
Bhatinde ki sikhni hoon main | DEL
Sab kehte hain Mumbai bada crowded hai. Arey? Crowded matlab kya? Crowd hum jaise logon se hi to banta hai? | STD
Khud bheed ka hissa hain aur takleef bhi khud hi ko hai. So funny | HUM
Main to ja rahi hoon Mumbai chhod ke hamesha ke liye. Aayee thi pata hai kab, jab Mumbai Bombay tha. Ek naam ke shaher mein aayi, doosre naam ke shaher se ja rahi hoon Achcha batao mujhe ye kya logic hui ki | STD
Hostel, hostel, hostel St Teresa’s boarding school hostel in Shimla, Missionary Hostel for College girls in Bombay Central, Government Girls Hostel on Marine Drive | STD
Mujhe kasam hai aaj ke baad kabhi hostel mein nahin rahoongi. Nafrat ho gayee hai mujhe hostels se. I hate hostels. I hate them. | HUM
I hope barsaat ke aane se pehle ye roads ki digging band ho jaye varna pata hai kya hoga? Anyway mujhe to fark nahin padta kyonki main rahoongi nahin yahan magar jo baaki janta hai yahan par | STD
Kya hua? Arey? | STD
Ye kya kar rahe ho? | STD
Chalti train ka door kabhi nahin kholte. Pata hai kya ho sakta hai? | STD
Mook ho, bol nahin sakte? | STD
Ya sharmeele type ke ho? Ya sirf budtameez ho? | HUM
Haan? | STD
Kuch to baat hai. Teen baari main pooch chuki hoon magar koi javaab hi nahin. | STD
Berth pe hai. Aati hoon. | STD
Ticket dekhaiye please. | STD
Aur door band kar deejiye. Ticket | STD
Ye tumhaari ticket dekhna chahte hain Inhien ticket dikhao. Kahan hai? Ticket? Ticket. Tee-ket | STD
Mere paas ticket nahin hai. | STD
